Can ID,Population,Commercial,Nbr of Houses,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7
1,5891,11,942,1,0,1,0,1,1,0
2,6616,6,830,0,0,0,0,1,0,1
3,9501,31,803,1,0,0,1,1,1,0
4,7135,38,966,1,0,1,1,1,0,0
5,3727,13,1689,1,1,0,1,1,1,1
6,764,12,1561,0,1,1,1,1,0,1
7,7255,5,1344,1,1,0,0,0,0,1
8,771,23,1216,1,1,1,1,1,1,0
9,5877,27,835,1,0,0,0,1,0,1
10,6222,26,567,0,1,1,0,0,0,0
11,6823,28,1890,1,0,0,0,1,0,0
12,8068,22,1357,1,0,0,0,0,0,1
13,2834,29,556,0,1,1,1,0,1,0
14,2141,36,1126,0,0,1,1,1,0,0
15,4401,23,1091,1,0,1,1,0,1,0
16,8697,48,1342,1,0,1,0,0,0,0
17,7627,27,1778,0,1,1,1,1,0,0
18,3302,35,668,0,0,1,0,1,0,0
19,9522,32,1004,0,1,0,0,0,0,0
20,6996,30,1785,1,1,1,0,0,0,0
21,1642,5,1765,0,1,0,1,1,1,0
22,135,47,938,1,1,1,0,0,1,1
23,9348,33,1800,1,1,0,1,0,0,0
24,2175,20,1214,0,0,0,0,1,1,1
25,6128,13,881,0,0,0,0,1,0,1
26,9640,30,1675,1,0,1,1,0,1,1
27,2396,2,772,0,1,1,0,1,0,1
28,5030,28,801,1,1,0,0,1,0,1
29,6155,9,956,1,0,0,0,1,1,1
30,229,21,1113,0,0,1,0,1,0,0
31,7794,35,1601,0,1,1,1,1,1,1
32,6241,20,1061,1,0,0,1,1,1,0
33,7667,22,659,1,1,1,1,1,1,0
34,351,20,1430,0,1,1,0,0,1,1
35,2888,18,1500,1,0,0,1,0,1,1
36,2458,47,873,1,1,0,1,0,1,1
37,3681,10,1408,0,1,0,1,1,0,0
38,6721,31,890,1,1,1,0,0,1,0
39,521,36,623,1,1,1,1,0,0,1
40,2802,20,722,0,1,1,0,0,0,1
41,632,11,754,1,1,1,0,1,1,0
42,781,32,1910,0,1,0,0,1,0,0
43,2977,3,727,0,1,1,0,1,1,0
44,1819,33,1260,1,1,1,1,0,0,0
45,4503,41,1899,1,1,0,1,1,1,1
46,6257,36,673,1,0,1,0,0,1,0
47,4824,26,1351,1,0,0,0,1,1,1
48,134,37,962,1,1,1,0,1,1,1
49,5463,12,1395,0,1,0,0,1,1,1
50,2473,8,1848,1,1,1,1,1,0,0
51,3311,18,768,0,1,0,0,0,0,1
52,7679,44,1081,1,0,1,0,0,1,1
53,8628,27,1354,1,1,1,1,0,1,0
54,3634,34,1703,1,0,0,0,0,1,0
55,9637,46,654,0,1,0,1,1,1,0
56,1168,6,1426,0,1,1,0,1,1,0
57,2807,6,662,0,0,0,1,0,0,1
58,6026,44,952,0,0,1,0,1,0,0
59,4939,50,1867,1,1,1,0,1,1,0
60,4413,33,661,0,0,1,0,0,0,1
61,2459,14,1757,0,0,0,0,1,1,1
62,415,22,1208,1,0,0,0,1,0,1
63,4349,6,1285,0,1,0,0,1,0,1
64,6727,33,1985,1,0,0,1,1,1,1
65,1119,43,1999,1,0,1,0,0,1,0
66,7883,31,709,1,1,0,1,0,1,1
67,2825,42,870,0,1,1,1,0,0,0
68,315,46,955,0,1,1,1,0,1,0
69,4679,34,1102,0,1,0,0,1,0,0
70,2408,25,1764,1,0,0,0,1,0,1
71,3574,15,1901,0,1,1,1,1,1,1
72,4209,36,1494,0,1,1,1,1,1,0
73,8240,18,927,1,0,0,0,0,1,0
74,3302,22,1407,1,0,1,0,0,0,0
75,7478,13,1797,0,1,0,1,0,1,0
76,5504,13,1531,1,0,1,0,0,0,0
77,6326,30,1567,1,0,1,0,0,0,0
78,2559,3,1976,1,0,1,0,1,1,1
79,7495,39,1665,0,1,0,0,0,0,0
80,626,12,859,1,1,1,0,1,0,1
81,3174,39,869,1,0,1,1,0,0,1
82,9475,18,572,1,0,0,1,1,1,0
83,879,45,1998,1,1,1,0,0,1,0
84,3885,6,1860,0,1,1,1,1,1,1
85,6362,36,656,0,0,0,0,1,1,1
86,2771,50,633,0,0,1,1,1,1,1
87,3299,5,945,0,0,1,1,1,0,0
88,7523,7,1771,0,0,0,1,0,0,0
89,6692,33,947,1,0,1,0,0,1,1
90,708,12,1548,0,0,0,0,1,1,1
91,1896,32,1284,0,1,1,1,0,0,1
92,2939,25,1313,0,1,1,1,0,0,0
93,5260,2,816,0,1,0,0,0,0,0
94,3461,17,1760,1,1,1,1,0,1,0
95,8133,27,1579,1,1,1,0,1,0,1
96,5108,48,1214,0,1,0,1,0,1,1
97,897,1,795,1,0,1,0,1,1,1
98,6070,3,1221,0,1,0,0,1,0,0
99,1694,46,1061,0,0,0,0,0,0,0
100,5229,7,576,1,1,0,0,0,0,0
101,847,37,957,0,1,1,1,0,1,1
102,9851,24,1821,0,0,0,0,1,1,1
103,9146,17,1027,1,1,1,1,1,1,1
104,4316,33,1696,0,0,0,1,1,0,1
105,582,18,654,0,0,0,1,1,0,1
106,693,8,1788,1,1,0,1,1,0,1
107,4527,20,1338,0,0,1,1,1,0,0
108,6294,15,765,1,0,0,0,1,0,1
109,9378,4,1865,0,0,0,1,1,1,1
110,6814,16,1823,0,0,1,1,1,1,0
111,9067,22,1097,1,0,1,0,1,1,1
112,987,33,983,1,0,0,1,1,0,1
113,5630,29,1966,0,1,1,0,0,1,0
114,4129,34,1495,1,1,0,1,0,1,0
115,1174,6,820,1,0,0,1,1,0,1
116,6230,38,936,0,1,1,1,0,1,0
117,4684,36,822,0,1,1,1,1,0,0
118,615,26,942,0,0,0,1,0,1,1
119,9069,45,950,0,1,1,0,1,0,1
120,9958,11,510,1,0,1,1,0,0,1
121,5649,36,687,0,0,0,1,1,0,0
122,8675,18,640,0,0,1,1,1,0,1
123,5637,22,893,1,0,1,0,0,1,0
124,1246,21,1213,1,0,0,1,1,1,1
125,1199,39,1006,0,1,0,0,1,0,0
126,8481,24,783,0,0,0,0,0,1,0
127,8612,15,1322,0,1,1,1,0,0,0
128,9309,38,1554,0,1,0,0,0,1,0
129,5490,7,1307,1,0,1,0,1,1,0
130,8121,41,1597,0,0,1,0,1,1,0
131,6528,15,1830,1,1,0,1,1,1,0
